text,is_distracting
how to build a neural network,0
latest movie trailers,1
deep learning tutorial,0
funny cat videos,1
reinforcement learning in AI,0
play online games,1
how to implement bfs algorithm,0
best instagram accounts to follow,1
tutorial on nlp,0
how to become a social media influencer,1
importance of transformers in AI,0
watch football highlights,1
machine learning basics,0
funny moments compilation,1
introduction to dfs algorithm,0
how to create viral tiktok videos,1
applications of deep learning,0
best youtube channels for entertainment,1
how to use nlp for text analysis,0
latest trends in gaming,1
understanding neural networks,0
top 10 funny pranks,1
how to solve problems using reinforcement learning,0
streaming the latest music hits,1
overview of artificial intelligence,0
celebrity gossip and news,1
advances in machine learning,0
top memes of the week,1
neural network architecture,0
how to get more followers on social media,1
data preprocessing for deep learning,0
funny video reactions,1
natural language understanding,0
best ways to spend your free time,1
machine learning algorithms explained,0
how to make viral youtube videos,1
python for data science,0
social media trends 2024,1
latest research in AI,0
celebrity scandals,1
machine learning model evaluation,0
best gaming setups,1
deep learning in practice,0
how to get famous on social media,1
neural network training techniques,0
funniest moments in sports,1
applications of machine learning in healthcare,0
trending viral challenges,1
automating tasks with AI,0
best mobile games of 2024,1
current trends in artificial intelligence,0
most popular youtube videos,1
advanced topics in machine learning,0
how to gain more likes on social media,1
machine learning for image recognition,0
best viral videos this month,1
natural language processing techniques,0
top 10 funniest videos of the year,1
deep learning for computer vision,0
how to become a youtube star,1
intro to AI ethics,0
latest social media challenges,1
reinforcement learning applications,0
how to make a viral TikTok,1
transformers in NLP,0
funny dog videos,1
deep learning research papers,0
top viral dance trends,1
AI in healthcare,0
how to go viral on Instagram,1
machine learning in finance,0
best memes of 2024,1
AI-powered tools for productivity,0
top funny moments in movies,1
latest advancements in deep learning,0
best ways to waste time on the internet,1
